Id;Name;Link;Categories;Price;Wholesale price;Features;Description
477;(Nie)znajomi (BD);nie-znajomi-bd;1013|1002|1000|1016;48.6992;43.83;Producent@Filmostrada|Tytuł oryginalny@(Nie)znajomi|Gatunek@Dramat|Gatunek@Komedia|Reżyseria@Tadeusz Śliwa|Obsada@Kot Tomasz|Obsada@Ostaszewska Maja|Scenariusz@Katarzyna Sarnowska|Scenariusz@Tadeusz Śliwa|Muzyka@Marcin Masecki|Czas trwania [min]@100|Kraj produkcji@Polska|Rok produkcji@2019|Nośnik@Blu-ray|Liczba nośników@1|Napisy@Brak|Dźwięk@Polski 5.1 Dolby Digital|Format obrazu@16:9|Region@B;<p>„(Nie)znajomi” to komedia, komediodramat i film obyczajowy w jednym. To historia grupy przyjaciół, którzy w trakcie kameralnej kolacji decydują się zagrać w nietypową grę. Muszą ujawniać wiadomości przychodzące na ich telefony, a rozmowy przełączać w tryb głośnomówiący. Szybko okazuje się, że każdy z uczestników gry skrywa tajemnice, którymi wolałby się z nikim nie dzielić, a na pozór przyjemny wieczór wywraca ich świat do góry nogami.</p>
275;(Nie)znajomi (DVD) + Książka;nie-znajomi-dvd-ksiazka;1008|1001|1000|1005;6.4959;5.85;Producent@Filmostrada|Tytuł oryginalny@(Nie)znajomi|Gatunek@Dramat|Gatunek@Komedia|Reżyseria@Tadeusz Śliwa|Obsada@Kot Tomasz|Obsada@Ostaszewska Maja|Scenariusz@Katarzyna Sarnowska|Scenariusz@Tadeusz Śliwa|Muzyka@Marcin Masecki|Czas trwania [min]@99|Kraj produkcji@Polska|Rok produkcji@2019|Nośnik@DVD|Liczba nośników@1|Napisy@Brak|Dźwięk@Polski 5.1 Dolby Digital|Format obrazu@16:9|Region@2;<p>„(Nie)znajomi” to komedia, komediodramat i film obyczajowy w jednym. To historia grupy przyjaciół, którzy w trakcie kameralnej kolacji decydują się zagrać w nietypową grę. Muszą ujawniać wiadomości przychodzące na ich telefony, a rozmowy przełączać w tryb głośnomówiący. Szybko okazuje się, że każdy z uczestników gry skrywa tajemnice, którymi wolałby się z nikim nie dzielić, a na pozór przyjemny wieczór wywraca ich świat do góry nogami.</p>
499;15:17 do Paryża (BD);15-17-do-paryza-bd;1013|1002|1000;28.4472;25.6;Producent@Galapagos|Tytuł oryginalny@The 15:17 to Paris|Gatunek@Dramat|Reżyseria@Eastwood Clint|Obsada@Alek Skarlatos|Obsada@Anthony Sadler|Scenariusz@Dorothy Blyskal|Muzyka@Christian Jacob|Czas trwania [min]@94|Kraj produkcji@USA|Rok produkcji@2018|Nośnik@Blu-ray|Liczba nośników@1|Napisy@Angielskie|Napisy@Angielskie (dla niesłyszących)|Napisy@Polskie|Napisy@Rosyjskie|Dźwięk@Angielski Dolby Atmos|Dźwięk@Polski Dolby Atmos|Dźwięk@Rosyjski Dolby Atmos;<p>21 sierpnia 2015 roku świat w napięciu śledził doniesienia o ataku terrorystycznym na pociąg zmierzający do Paryża, któremu zapobiegli trzej Amerykanie. Clint Eastwood przedstawia losy tych niezwykłych mężczyzn, od czasów dzieciństwa aż po serię niewiarygodnych zdarzeń prowadzących do ataku. Łącząca ich więź pozwoliła ocalić życie ponad 500 pasażerów.</p>
474;15:17 do Paryża (BD) Premium Collection;15-17-do-paryza-bd-premium-collection;1013|1002|1000;40.6423;36.58;Producent@Galapagos|Tytuł oryginalny@The 15:17 to Paris|Gatunek@Dramat|Reżyseria@Eastwood Clint|Obsada@Alek Skarlatos|Obsada@Anthony Sadler|Scenariusz@Dorothy Blyskal|Muzyka@Christian Jacob|Czas trwania [min]@94|Seria@Premium Collection|Kraj produkcji@USA|Rok produkcji@2018|Nośnik@Blu-ray|Liczba nośników@1|Napisy@Angielskie|Napisy@Angielskie (dla niesłyszących)|Napisy@Polskie|Napisy@Rosyjskie|Dźwięk@Angielski Dolby Atmos|Dźwięk@Polski Dolby Atmos|Dźwięk@Rosyjski Dolby Atmos;<p>Późnym popołudniem 21 sierpnia 2015 roku świat w napięciu śledził doniesienia o udaremnionym ataku terrorystycznym na pociąg Thalys nr 9364 zmierzający do Paryża. Tragedii zapobiegli trzej odważni młodzi Amerykanie. Reżyser Clint Eastwood przedstawia losy tych niezwykłych mężczyzn od ich dzieciństwa aż po serię niewiarygodnych zdarzeń prowadzących do ataku. Więź łącząca bohaterów staje się najpotężniejszą bronią w chwili wstrząsającej próby nieodzowną do ocalenia życia ponad 500 pasażerów. Doświadcz nadzwyczajnego męstwa trójki przyjaciół, których w filmie zagrali prawdziwi bohaterowie tych dramatycznych wydarzeń! Teraz w serii Premium Collection.</p>
481;1800 gramów (BD);1800-gramow-bd;1013|1002|1000;48.6992;43.83;Producent@Alterdystrybucja|Tytuł oryginalny@1800 gramów|Gatunek@Dramat|Reżyseria@Marcin Głowacki|Obsada@Głowacki Piotr|Obsada@Różczka Magdalena|Scenariusz@Jan Holoubek|Scenariusz@Piotr Jasek|Muzyka@Paweł Lucewicz|Czas trwania [min]@100|Kraj produkcji@Polska|Rok produkcji@2019|Nośnik@Blu-ray|Liczba nośników@1|Napisy@Angielskie|Napisy@Polskie (dla niedosłyszących)|Dźwięk@Audiodeskrypcja|Dźwięk@Polski 5.1 DTS-HD-MA|Format obrazu@16:9|Region@B;<p>Historie bohaterów odzwierciedlają najważniejsze ludzkie sprawy, troski i problemy.Film jest realizacją producenta takich hitów jak Listy do M.” czy „Podatek od miłości”.Kraków przygotowuje się na nadejście świąt. Ewa (Magdalena Rożczka), kobieta, dla której nie ma rzeczy niemożliwych, szuka nowych opiekunów dla dzieci pozbawionych rodzin. Tuż przed Bożym Narodzeniem w jej życiu pojawia się niezwykła dziewczynka – Nutka, niemowlę pozostawione przez matkę. Dla jej dobra Ewa gotowa jest zrobić wszystko, nawet poświęcić siebie, swoją karierę i szansę na miłość… Nie spodziewa się, że wkrótce przez jej życie przetoczy się prawdziwa lawina emocji, na którą nie przygotowało jej nic, czego do tej pory doświadczyła. Czy bezinteresownie ratując jeden mały świat, można uratować również siebie?</p>
115;1800 gramów (DVD);1800-gramow-dvd;1005|1001|1000;24.3821;21.94;Producent@Alterdystrybucja|Tytuł oryginalny@1800 gramów|Gatunek@Dramat|Reżyseria@Marcin Głowacki|Obsada@Głowacki Piotr|Obsada@Różczka Magdalena|Scenariusz@Jan Holoubek|Scenariusz@Piotr Jasek|Muzyka@Paweł Lucewicz|Czas trwania [min]@96|Kraj produkcji@Polska|Rok produkcji@2019|Nośnik@DVD|Liczba nośników@1|Napisy@Brak|Dźwięk@Polski 5.1 Dolby Digital|Format obrazu@16:9|Region@2;<p>Historie bohaterów odzwierciedlają najważniejsze ludzkie sprawy, troski i problemy.Film jest realizacją producenta takich hitów jak Listy do M.” czy „Podatek od miłości”.Kraków przygotowuje się na nadejście świąt. Ewa (Magdalena Rożczka), kobieta, dla której nie ma rzeczy niemożliwych, szuka nowych opiekunów dla dzieci pozbawionych rodzin. Tuż przed Bożym Narodzeniem w jej życiu pojawia się niezwykła dziewczynka – Nutka, niemowlę pozostawione przez matkę. Dla jej dobra Ewa gotowa jest zrobić wszystko, nawet poświęcić siebie, swoją karierę i szansę na miłość… Nie spodziewa się, że wkrótce przez jej życie przetoczy się prawdziwa lawina emocji, na którą nie przygotowało jej nic, czego do tej pory doświadczyła. Czy bezinteresownie ratując jeden mały świat, można uratować również siebie?</p>
496;1917 (BD);1917-bd;1013|1002|1000;48.6992;43.83;Producent@Dasan|Tytuł oryginalny@1917|Gatunek@Dramat|Gatunek@Wojenny|Reżyseria@Mendes Sam|Obsada@Dean-Charles Chapman|Obsada@George MacKay|Scenariusz@Krysty Wilson-Cairns|Scenariusz@Sam Mendes|Muzyka@Thomas Newman|Czas trwania [min]@118|Kraj produkcji@USA|Kraj produkcji@Wielka Brytania|Rok produkcji@2019|Nośnik@Blu-ray|Liczba nośników@1|Napisy@Polskie|Dźwięk@Angielski 7.1 DTS-HD-MA|Dźwięk@Polski 5.1 DTS-HD-MA (lektor)|Format obrazu@Anamorficzny|Format obrazu@2.39:1|Format obrazu@16:9|Region@B;<p>Wielkie wojenne widowisko w reżyserii zdobywcy Oscara Sama Mendesa („American Beauty”, „Skyfall”, „Spectre”). Film zdobył 3 Oscary i 2 Złote Globy (za najlepszy film i najlepszą reżyserię).Dwaj brytyjscy szeregowcy, Schofield i Blake, u schyłku I wojny światowej otrzymują ogromnie ryzykowną misję, od której powodzenia zależy życie ich towarzyszy. Muszą przedrzeć się za linię wroga i przekazać rozkaz odwołujący atak, który w świetle nowych informacji nie ma najmniejszych szans powodzenia. Jeśli nie uda się wypełnić misji, niechybna śmierć czeka ponad 1600 żołnierzy, a wśród nich brata Blake’a.</p>
128;1917 (DVD);1917-dvd;1005|1001|1000;16.252;14.63;Producent@Dasan|Tytuł oryginalny@1917|Gatunek@Dramat|Gatunek@Wojenny|Reżyseria@Mendes Sam|Obsada@Dean-Charles Chapman|Obsada@George MacKay|Scenariusz@Krysty Wilson-Cairns|Scenariusz@Sam Mendes|Muzyka@Thomas Newman|Czas trwania [min]@114|Kraj produkcji@USA|Kraj produkcji@Wielka Brytania|Rok produkcji@2019|Nośnik@DVD|Liczba nośników@1|Napisy@Polskie|Dźwięk@Angielski 5.1 Dolby Digital|Dźwięk@Polski 5.1 Dolby Digital (lektor)|Format obrazu@16:9;<p>Wielkie wojenne widowisko w reżyserii zdobywcy Oscara Sama Mendesa („American Beauty”, „Skyfall”, „Spectre”). Film zdobył 3 Oscary i 2 Złote Globy (za najlepszy film i najlepszą reżyserię).Dwaj brytyjscy szeregowcy, Schofield i Blake, u schyłku I wojny światowej otrzymują ogromnie ryzykowną misję, od której powodzenia zależy życie ich towarzyszy. Muszą przedrzeć się za linię wroga i przekazać rozkaz odwołujący atak, który w świetle nowych informacji nie ma najmniejszych szans powodzenia. Jeśli nie uda się wypełnić misji, niechybna śmierć czeka ponad 1600 żołnierzy, a wśród nich brata Blake’a.</p>
327;20 000 dni na Ziemi;20-000-dni-na-ziemi;1009|1001|1000|1004;16.252;14.63;Producent@Add Media|Tytuł oryginalny@20,000 Days on Earth|Gatunek@Dokumentalny|Gatunek@Muzyczny|Reżyseria@Iain Forsyth|Reżyseria@Jane Pollard|Obsada@Blixa Bargeld|Obsada@Susie Bick|Obsada@Warren Ellis|Czas trwania [min]@93|Kraj produkcji@Wielka Brytania|Rok produkcji@2014|Nośnik@DVD|Liczba nośników@1|Napisy@Polskie|Dźwięk@Angielski 5.1 Dolby Digital|Format obrazu@16:9;<p><br>Nick Cave od lat jest jedną z najbardziej fascynujących i enigmatycznych postaci świata muzyki, literatury i filmu. Jego wyjątkowy filmowy portret – „20 000 dni na Ziemi” – czyni go jeszcze bardziej tajemniczym i zmusza nas do odpowiedzi na pytanie, jak wiele dni z naszego życia naprawdę przeżyliśmy? Co zrobiliśmy z danym nam czasem? <br>Dzień numer 20 000 w życiu Nicka Cave'a – od dźwięku budzika wczesnym rankiem do nocnego spaceru wzdłuż plaży po koncercie – zamienia się w niezwykły i fascynujący portret artysty. W swoim filmowym debiucie Jane Pollard i Iain Forsyth łączą fikcję z prawdą, a sprawy publiczne z prywatnymi, by opowiedzieć historię jego życia. <br>Obrazom towarzyszy narracja napisana i czytana przez samego Cave'a, który dzieli się z widzami swoimi poglądami na życie i wprowadza nas w tajniki tworzenia muzyki przy okazji nagrywania płyty „Push the Sky Away”.<br></p>
221;21 mostów (DVD);21-mostow-dvd;1007|1001|1000;21.9431;19.75;Producent@Dasan|Tytuł oryginalny@21 Bridges|Gatunek@Akcja|Gatunek@Kryminalny|Gatunek@Thriller|Reżyseria@Kirk Brian|Obsada@Boseman Chadwick|Obsada@Kitsch Taylor|Scenariusz@ Adam Mervis|Scenariusz@Matthew Michael Carnahan|Muzyka@Henry Jackman|Czas trwania [min]@96|Kraj produkcji@USA|Rok produkcji@2019|Nośnik@DVD|Liczba nośników@1|Napisy@Polskie|Dźwięk@Angielski 5.1 Dolby Digital|Dźwięk@Polski 5.1 Dolby Digital (lektor)|Format obrazu@16:9;<p>Gwiazda „Czarnej Pantery” Chadwick Boseman w roli bezkompromisowego detektywa, który odkrywa spisek w samym sercu nowojorskiej policji. Film twórców hitów „Avengers: Koniec gry” i „Kapitan Ameryka. Wojna bohaterów”.Podczas włamania do ekskluzywnej nowojorskiej restauracji należącej do mafii, zamordowanych zostaje ośmiu policjantów. Sprawcy uciekają z kilkudziesięcioma kilogramami kokainy. Śledztwo prowadzi detektyw Andrew Davis, znany z tego, że nie ma litości dla zabójców policjantów. Z rozkazu władz Manhattan na całą noc zostaje odcięty od stałego lądu. Zamknięte są wszystkie mosty i tunele. W tej sytuacji ujęcie zabójców wydaje się tylko kwestią czasu. Wkrótce okazuje się jednak, że są w mieście wpływowi ludzie, którym bardzo zależy na tym, by uciekinierzy nie trafili w ręce policji. Detektyw Davis kontynuuje pościg, który wkrótce doprowadzi go do odkrycia kilku niebezpiecznych prawd.Kim są włamywacze? Do kogo naprawdę należała kokaina? Czyim interesom zagraża śledztwo? Ta wiedza może uczynić z Davisa najbardziej niebezpiecznego albo najbardziej zagrożonego człowieka w mieście. Wszystko zależy od tego jakich dokona wyborów.</p>
